id,patient_id,vet_id,Service,observations,Date,duration,Reason,notification_message,user_note
78965,356746,1432,services.basic.recheck,,2020-01-11 11:29:00.0,30,Recontrol,,
79477,360882,1432,services.basic.vaccinations,,2020-01-13 14:26:00.0,30,Vaccinare,,
78969,356746,1432,services.basic.recheck,,2020-01-20 16:30:00.0,30,Recontrol,,
72970,312289,1432,services.basic.deworming,,2020-02-03 13:00:00.0,30,Următoarea vizită,,
83835,365335,1432,services.basic.deworming,,2020-02-10 16:50:00.0,30,Deparazitare Internă,,
83842,365344,1432,services.basic.deworming,,2020-02-10 16:57:00.0,30,Deparazitare Internă,,
83838,365335,1432,services.basic.vaccinations,,2020-02-15 10:52:00.0,30,Vaccinare,,
90331,391240,1432,services.basic.deworming,,2020-03-17 16:53:00.0,30,Deparazitare Internă,,
103147,404462,1432,services.basic.flea_treatment,Deparazitare interna+externa,2020-04-17 10:30:00.0,30,Deparazitare Externă,,
83309,364732,1432,services.basic.deworming,,2020-04-30 16:03:00.0,30,Deparazitare Internă,,
78596,356468,1432,services.basic.deworming,,2020-05-02 14:26:00.0,30,Deparazitare Internă,,
112465,404462,1432,services.basic.flea_treatment,,2020-05-25 11:40:00.0,30,Deparazitare Externă,,
112466,413805,1432,services.basic.flea_treatment,,2020-05-25 11:46:00.0,30,Deparazitare Externă,,
130142,404462,1432,services.basic.flea_treatment,,2020-05-26 17:49:00.0,30,Deparazitare Externă,,
130144,312289,1432,services.basic.flea_treatment,,2020-05-27 17:52:00.0,30,Deparazitare Externă,nu uita,
78522,312289,1432,services.basic.vaccinations,,2020-07-10 09:55:00.0,30,Vaccinare,,
190131,512130,1432,services.basic.deworming,,2020-09-04 14:36:00.0,30,Deparazitare Internă,,
190139,512133,1432,services.basic.deworming,,2020-09-04 14:41:00.0,30,Deparazitare Internă,,
154265,472641,1432,services.basic.deworming,Deparazitari interna si externa,2020-10-07 12:00:00.0,30,Deparazitare Internă,,
78501,356402,1432,services.basic.vaccinations,,2021-01-10 12:32:00.0,30,Vaccinare,,
78515,356412,1432,services.basic.vaccinations,,2021-01-10 12:52:00.0,30,Vaccinare,,
78595,356468,1432,services.basic.vaccinations,,2021-01-10 14:25:00.0,30,Vaccinare,,
80558,361947,1432,services.basic.vaccinations,,2021-01-16 11:15:00.0,30,Vaccinare,,
81171,362478,1432,services.basic.vaccinations,,2021-01-17 13:25:00.0,30,Vaccinare,,
82621,363896,1432,services.basic.vaccinations,,2021-01-21 16:34:00.0,30,Vaccinare,,
83037,364411,1432,services.basic.vaccinations,,2021-01-22 17:17:00.0,30,Vaccinare,,
87910,389019,1432,services.basic.vaccinations,,2021-02-06 17:34:00.0,30,Vaccinare,,
101169,401667,1432,services.basic.vaccinations,,2021-03-12 13:30:00.0,30,Vaccinare,,
101497,401972,1432,services.basic.vaccinations,,2021-03-13 16:23:00.0,30,Vaccinare,,
102428,403715,1432,services.basic.vaccinations,,2021-03-16 18:48:00.0,30,Vaccinare,,
128259,426717,1432,services.basic.vaccinations,,2021-05-22 17:32:00.0,30,Următoarea vizită,,
175221,490597,1432,services.basic.vaccinations,,2021-07-03 15:00:00.0,30,Vaccinare,,
175325,490608,1432,services.basic.vaccinations,,2021-07-03 15:30:00.0,30,Vaccinare,,
175163,490561,1432,services.basic.vaccinations,,2021-08-03 11:00:00.0,30,Vaccinare,,
175186,490578,1432,services.basic.vaccinations,,2021-08-03 14:00:00.0,30,Vaccinare,,
175199,490586,1432,services.basic.vaccinations,,2021-08-03 14:30:00.0,30,Vaccinare,,
747775,1261312,1432,services.basic.vaccinations,,2022-05-10 17:00:00.0,30,Vaccinare,,
823881,1369381,1432,services.basic.flea_treatment,,2022-06-24 10:30:00.0,30,Deparazitare Externă,,
974481,1706093,1432,services.basic.flea_treatment,,2022-08-11 17:30:00.0,30,Deparazitare Externă,,
747780,1261312,1432,services.basic.vaccinations,,2023-02-02 17:00:00.0,30,Vaccinare,,
1537392,2856474,1432,services.basic.vaccinations,,2023-04-14 17:00:00.0,30,Vaccinare,,
3081830,4266837,1432,services.basic.vaccinations,,2023-10-13 13:00:00.0,30,Vaccinare,,
5364538,5370041,1432,services.basic.vaccinations,,2024-08-01 10:00:00.0,30,Vaccinare,,
11368067,3335747,1432,services.basic.flea_treatment,,2025-07-02 14:45:00.0,30,Deparazitare Externă,,
11560463,1149737,1432,services.basic.vaccinations,,2026-04-03 15:00:00.0,30,Vaccinare,,
11587670,5409533,1432,services.basic.vaccinations,,2026-04-04 09:15:00.0,145,Vaccinare,,
11577647,1652213,1432,services.basic.vaccinations,,2026-04-04 10:30:00.0,30,Vaccinare,,
11577608,1274368,1432,services.basic.vaccinations,,2026-04-04 11:30:00.0,30,Vaccinare,,
11577664,2367883,1432,services.basic.vaccinations,,2026-04-04 11:30:00.0,30,Vaccinare,,
11577574,3304768,1432,services.basic.vaccinations,,2026-04-04 13:00:00.0,30,Vaccinare,,
13392498,8927137,1432,services.basic.vaccinations,,2026-06-25 16:26:37.0,30,Vaccinare,,
11560464,1149737,1432,services.basic.vaccinations,,2027-04-03 15:00:00.0,30,Vaccinare,,
11587671,5409533,1432,services.basic.vaccinations,,2027-04-04 09:15:00.0,145,Vaccinare,,
11577648,1652213,1432,services.basic.vaccinations,,2027-04-04 10:30:00.0,30,Vaccinare,,
11577575,3304768,1432,services.basic.vaccinations,,2027-04-04 13:00:00.0,30,Vaccinare,,
11560465,1149737,1432,services.basic.vaccinations,,2028-04-03 15:00:00.0,30,Vaccinare,,
11587672,5409533,1432,services.basic.vaccinations,,2028-04-04 09:15:00.0,145,Vaccinare,,
11577649,1652213,1432,services.basic.vaccinations,,2028-04-04 10:30:00.0,30,Vaccinare,,
11577576,3304768,1432,services.basic.vaccinations,,2028-04-04 13:00:00.0,30,Vaccinare,,
